Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.7483528852462769, 0.5711860060691833, 0.574731171131134, 0.7789473533630371
2, 0.603650689125061, 0.5409976243972778, 0.6731182932853699, 0.7621052861213684
3, 0.5798572301864624, 0.5203242897987366, 0.6908602118492126, 0.785263180732727
4, 0.5339685678482056, 0.48179733753204346, 0.7290322780609131, 0.8021052479743958
5, 0.49581098556518555, 0.41545242071151733, 0.7559139728546143, 0.8442105054855347
6, 0.42568957805633545, 0.33181679248809814, 0.801075279712677, 0.8884210586547852
7, 0.3869131803512573, 0.2963017225265503, 0.8274193406105042, 0.8968421220779419
8, 0.3547774851322174, 0.28547245264053345, 0.8413978219032288, 0.9073684215545654
9, 0.342111736536026, 0.27593305706977844, 0.8580645322799683, 0.8926315903663635
10, 0.29857316613197327, 0.25698789954185486, 0.8704301118850708, 0.9031578898429871
