Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.710041344165802, 0.6717259287834167, 0.5346804857254028, 0.6168830990791321
2, 0.6867125630378723, 0.6382100582122803, 0.5701802372932434, 0.7445887327194214
3, 0.6285059452056885, 0.5915091633796692, 0.6351720094680786, 0.7835497856140137
4, 0.5829868912696838, 0.554347574710846, 0.6974331140518188, 0.8138527870178223
5, 0.5438095331192017, 0.5203678011894226, 0.7220098376274109, 0.8463203310966492
6, 0.52973473072052, 0.49151280522346497, 0.7449480891227722, 0.8658008575439453
7, 0.4862551689147949, 0.4604281485080719, 0.7788093686103821, 0.9047619104385376
8, 0.46590495109558105, 0.43331214785575867, 0.8055707216262817, 0.9134199023246765
9, 0.4328490197658539, 0.4045029282569885, 0.827416718006134, 0.9199134111404419
10, 0.4146483242511749, 0.38188472390174866, 0.8481703996658325, 0.9264069199562073
11, 0.3921234905719757, 0.36145979166030884, 0.8596395254135132, 0.9264069199562073
12, 0.37725740671157837, 0.35265958309173584, 0.8743855953216553, 0.9242424368858337
13, 0.34893161058425903, 0.33555951714515686, 0.8754779100418091, 0.9264069199562073
14, 0.3557531535625458, 0.32676780223846436, 0.8842162489891052, 0.9264069199562073
15, 0.3317524194717407, 0.31969189643859863, 0.8918623924255371, 0.9264069199562073
16, 0.33866408467292786, 0.3193071186542511, 0.8814855217933655, 0.9264069199562073
17, 0.3109961748123169, 0.3215167224407196, 0.8967776894569397, 0.9264069199562073
18, 0.31728595495224, 0.3144664764404297, 0.8984161615371704, 0.9264069199562073
19, 0.29165345430374146, 0.3087240159511566, 0.902239203453064, 0.9264069199562073
20, 0.2968076765537262, 0.30290910601615906, 0.9038776755332947, 0.9264069199562073
