Filename, Number of Infected, Total Number, Infection Percentage
Verilog3/Infected/Inf_gate_level_1194_in32_out8_gates47.v, 3120, 60900, 0.05123152709359606
Verilog3/Infected/Inf_gate_level_767_in8_out32_gates56.v, 3117, 93750, 0.033248
Verilog3/Infected/Inf_gate_level_622_in8_out4_gates47.v, 1941, 55201, 0.03516240647814351
Verilog3/Infected/Inf_gate_level_450_in4_out16_gates29.v, 3120, 50101, 0.062274206103670585
Verilog3/Infected/Inf_gate_level_510_in4_out32_gates57.v, 2237, 97888, 0.022852647924158222
Verilog3/Infected/Inf_gate_level_476_in4_out16_gates55.v, 6213, 79743, 0.07791279485346676
Verilog3/Infected/Inf_gate_level_759_in8_out32_gates48.v, 3182, 86326, 0.036860273845654844
Verilog3/Infected/Inf_gate_level_287_in4_out2_gates30.v, 2934, 37557, 0.07812125569134915
Verilog3/Infected/Inf_gate_level_985_in16_out16_gates48.v, 2998, 67859, 0.04417984349902003
Verilog3/Infected/Inf_gate_level_933_in16_out8_gates44.v, 2947, 56897, 0.051795349491185826
Verilog3/Infected/Inf_gate_level_593_in8_out4_gates18.v, 3038, 25227, 0.12042652713362667
Verilog3/Infected/Inf_gate_level_22_in2_out2_gates23.v, 3265, 30736, 0.10622722540343571
Verilog3/Infected/Inf_gate_level_1482_in64_out16_gates29.v, 2882, 49165, 0.058618936235126616
Verilog3/Infected/Inf_gate_level_630_in8_out4_gates55.v, 3119, 64902, 0.048057070660380265
Verilog3/Infected/Inf_gate_level_381_in4_out8_gates8.v, 3395, 19064, 0.17808434746118337
Verilog3/Infected/Inf_gate_level_1528_in64_out32_gates43.v, 2987, 80523, 0.037094991493113766
Verilog3/Infected/Inf_gate_level_1239_in32_out16_gates44.v, 5133, 65368, 0.07852466038428589
Verilog3/Infected/Inf_gate_level_472_in4_out16_gates51.v, 2840, 73858, 0.0384521649652035
Verilog3/Infected/Inf_gate_level_908_in16_out8_gates19.v, 2256, 29540, 0.07637102234258632
Verilog3/Infected/Inf_gate_level_156_in2_out8_gates41.v, 3204, 55921, 0.05729511274834141
Verilog3/Infected/Inf_gate_level_1300_in64_out2_gates11.v, 2159, 15303, 0.14108344768999542
Verilog3/Infected/Inf_gate_level_1150_in32_out4_gates59.v, 6365, 71951, 0.08846298175146974
Verilog3/Infected/Inf_gate_level_1273_in32_out32_gates46.v, 2883, 84043, 0.03430386825791559
Verilog3/Infected/Inf_gate_level_216_in2_out16_gates53.v, 3264, 76869, 0.042461850681028764
Verilog3/Infected/Inf_gate_level_1198_in32_out8_gates51.v, 2059, 64024, 0.03215981506934899
Verilog3/Infected/Inf_gate_level_151_in2_out8_gates36.v, 2899, 50192, 0.05775820847943895
Verilog3/Infected/Inf_gate_level_103_in2_out4_gates44.v, 5325, 55863, 0.09532248536598464
Verilog3/Infected/Inf_gate_level_981_in16_out16_gates44.v, 2968, 64713, 0.04586404586404586
Verilog3/Infected/Inf_gate_level_546_in8_out2_gates31.v, 2086, 36885, 0.05655415480547648
Verilog3/Infected/Inf_gate_level_1269_in32_out32_gates42.v, 3035, 79281, 0.03828155547987538
