Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog3/Infected/Inf_gate_level_67_NOR.v, 14283, 41729, 0.3422799491960028
NORVerilog3/Infected/Inf_gate_level_553_NOR.v, 9518, 129998, 0.07321651102324651
NORVerilog3/Infected/Inf_gate_level_848_NOR.v, 4350, 53597, 0.08116125902569174
NORVerilog3/Infected/Inf_gate_level_1494_NOR.v, 10012, 181714, 0.05509757090813036
NORVerilog3/Infected/Inf_gate_level_1393_NOR.v, 6709, 162510, 0.041283613316103626
NORVerilog3/Infected/Inf_gate_level_340_NOR.v, 8765, 89449, 0.09798879808606022
NORVerilog3/Infected/Inf_gate_level_1503_NOR.v, 16941, 214387, 0.0790206495729685
NORVerilog3/Infected/Inf_gate_level_841_NOR.v, 9848, 46925, 0.20986680873734684
NORVerilog3/Infected/Inf_gate_level_106_NOR.v, 12781, 177457, 0.07202308164794852
NORVerilog3/Infected/Inf_gate_level_846_NOR.v, 10306, 55775, 0.18477812640071717
NORVerilog3/Infected/Inf_gate_level_1521_NOR.v, 9887, 153428, 0.06444064968584613
NORVerilog3/Infected/Inf_gate_level_932_NOR.v, 8898, 167683, 0.053064413208256056
NORVerilog3/Infected/Inf_gate_level_600_NOR.v, 7676, 96149, 0.0798344236549522
NORVerilog3/Infected/Inf_gate_level_320_NOR.v, 12458, 232708, 0.053534902109080906
NORVerilog3/Infected/Inf_gate_level_30_NOR.v, 5676, 110618, 0.05131172141966045
NORVerilog3/Infected/Inf_gate_level_795_NOR.v, 4407, 72592, 0.06070916905444126
NORVerilog3/Infected/Inf_gate_level_411_NOR.v, 17754, 163120, 0.10884011770475724
NORVerilog3/Infected/Inf_gate_level_1011_NOR.v, 11400, 196089, 0.05813686642289981
NORVerilog3/Infected/Inf_gate_level_1416_NOR.v, 4525, 49380, 0.09163628999594978
NORVerilog3/Infected/Inf_gate_level_473_NOR.v, 12628, 205028, 0.061591587490489104
NORVerilog3/Infected/Inf_gate_level_822_NOR.v, 12870, 181668, 0.07084351674483123
NORVerilog3/Infected/Inf_gate_level_1219_NOR.v, 4349, 98563, 0.044124062782179924
NORVerilog3/Infected/Inf_gate_level_112_NOR.v, 11887, 196052, 0.060631873176504196
NORVerilog3/Infected/Inf_gate_level_1374_NOR.v, 8909, 99633, 0.08941816466431805
NORVerilog3/Infected/Inf_gate_level_858_NOR.v, 7631, 91546, 0.08335700085203067
NORVerilog3/Infected/Inf_gate_level_1373_NOR.v, 8742, 90076, 0.09705137883564989
NORVerilog3/Infected/Inf_gate_level_758_NOR.v, 8948, 206010, 0.043434784719188387
NORVerilog3/Infected/Inf_gate_level_361_NOR.v, 5476, 168771, 0.03244633260453514
NORVerilog3/Infected/Inf_gate_level_830_NOR.v, 12434, 209044, 0.05948030079791814
NORVerilog3/Infected/Inf_gate_level_501_NOR.v, 5335, 197760, 0.026977144012944983
NORVerilog3/Infected/Inf_gate_level_743_NOR.v, 6884, 121185, 0.05680571027767463
NORVerilog3/Infected/Inf_gate_level_929_NOR.v, 7602, 141469, 0.05373615421046307
NORVerilog3/Infected/Inf_gate_level_1027_NOR.v, 8819, 244283, 0.03610157071920682
NORVerilog3/Infected/Inf_gate_level_468_NOR.v, 8403, 173226, 0.04850888434761525
NORVerilog3/Infected/Inf_gate_level_253_NOR.v, 8438, 233421, 0.0361492753436923
NORVerilog3/Infected/Inf_gate_level_541_NOR.v, 12785, 97243, 0.13147475910862477
NORVerilog3/Infected/Inf_gate_level_733_NOR.v, 9503, 219914, 0.04321234664459744
NORVerilog3/Infected/Inf_gate_level_765_NOR.v, 15079, 214572, 0.07027477956117294
NORVerilog3/Infected/Inf_gate_level_1377_NOR.v, 13114, 111856, 0.11724002288656844
NORVerilog3/Infected/Inf_gate_level_271_NOR.v, 12973, 63450, 0.2044602048857368
NORVerilog3/Infected/Inf_gate_level_277_NOR.v, 10352, 88768, 0.11661860129776495
NORVerilog3/Infected/Inf_gate_level_441_NOR.v, 9471, 92189, 0.10273459957261713
NORVerilog3/Infected/Inf_gate_level_1079_NOR.v, 5681, 150777, 0.037678160462139454
NORVerilog3/Infected/Inf_gate_level_1534_NOR.v, 9648, 204076, 0.04727650483153335
NORVerilog3/Infected/Inf_gate_level_905_NOR.v, 7731, 59013, 0.13100503278938538
NORVerilog3/Infected/Inf_gate_level_1305_NOR.v, 5479, 62682, 0.08740946364187487
NORVerilog3/Infected/Inf_gate_level_1233_NOR.v, 8795, 144553, 0.06084273588234073
