Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog2/Infected/Inf_gate_level_16351_NOR.v, 4, 1685, 0.002373887240356083
NORVerilog2/Infected/Inf_gate_level_23002_NOR.v, 4, 1844, 0.0021691973969631237
NORVerilog2/Infected/Inf_gate_level_22668_NOR.v, 4, 1145, 0.0034934497816593887
NORVerilog2/Infected/Inf_gate_level_16440_NOR.v, 4, 1752, 0.00228310502283105
NORVerilog2/Infected/Inf_gate_level_10551_NOR.v, 4, 504, 0.007936507936507936
NORVerilog2/Infected/Inf_gate_level_22563_NOR.v, 4, 1459, 0.0027416038382453737
NORVerilog2/Infected/Inf_gate_level_16641_NOR.v, 4, 2003, 0.00199700449326011
NORVerilog2/Infected/Inf_gate_level_16521_NOR.v, 4, 1637, 0.002443494196701283
NORVerilog2/Infected/Inf_gate_level_29254_NOR.v, 4, 1178, 0.003395585738539898
NORVerilog2/Infected/Inf_gate_level_43298_NOR.v, 4, 1123, 0.003561887800534283
NORVerilog2/Infected/Inf_gate_level_21965_NOR.v, 4, 1044, 0.0038314176245210726
NORVerilog2/Infected/Inf_gate_level_8468_NOR.v, 4, 1764, 0.0022675736961451248
NORVerilog2/Infected/Inf_gate_level_47567_NOR.v, 4, 800, 0.005
NORVerilog2/Infected/Inf_gate_level_67_NOR.v, 4, 836, 0.004784688995215311
NORVerilog2/Infected/Inf_gate_level_22013_NOR.v, 4, 1478, 0.0027063599458728013
NORVerilog2/Infected/Inf_gate_level_48314_NOR.v, 4, 1182, 0.00338409475465313
NORVerilog2/Infected/Inf_gate_level_48873_NOR.v, 4, 1428, 0.0028011204481792717
NORVerilog2/Infected/Inf_gate_level_33530_NOR.v, 4, 1804, 0.0022172949002217295
NORVerilog2/Infected/Inf_gate_level_35119_NOR.v, 4, 1846, 0.0021668472372697724
NORVerilog2/Infected/Inf_gate_level_45995_NOR.v, 4, 650, 0.006153846153846154
NORVerilog2/Infected/Inf_gate_level_26869_NOR.v, 4, 1917, 0.0020865936358894104
NORVerilog2/Infected/Inf_gate_level_2713_NOR.v, 4, 1582, 0.0025284450063211127
NORVerilog2/Infected/Inf_gate_level_46048_NOR.v, 4, 1324, 0.0030211480362537764
