Filename, Number of Infected, Total Number, Infection Percentage
Verilog3/Infected/Inf_gate_level_1194_in32_out8_gates47.v, 3, 49, 0.061224489795918366
Verilog3/Infected/Inf_gate_level_767_in8_out32_gates56.v, 3, 58, 0.05172413793103448
Verilog3/Infected/Inf_gate_level_622_in8_out4_gates47.v, 2, 48, 0.041666666666666664
Verilog3/Infected/Inf_gate_level_450_in4_out16_gates29.v, 3, 31, 0.0967741935483871
Verilog3/Infected/Inf_gate_level_510_in4_out32_gates57.v, 2, 58, 0.034482758620689655
Verilog3/Infected/Inf_gate_level_476_in4_out16_gates55.v, 6, 59, 0.1016949152542373
Verilog3/Infected/Inf_gate_level_759_in8_out32_gates48.v, 3, 50, 0.06
Verilog3/Infected/Inf_gate_level_287_in4_out2_gates30.v, 2, 31, 0.06451612903225806
Verilog3/Infected/Inf_gate_level_985_in16_out16_gates48.v, 3, 50, 0.06
Verilog3/Infected/Inf_gate_level_933_in16_out8_gates44.v, 3, 46, 0.06521739130434782
Verilog3/Infected/Inf_gate_level_593_in8_out4_gates18.v, 3, 20, 0.15
Verilog3/Infected/Inf_gate_level_22_in2_out2_gates23.v, 3, 25, 0.12
Verilog3/Infected/Inf_gate_level_1482_in64_out16_gates29.v, 3, 31, 0.0967741935483871
Verilog3/Infected/Inf_gate_level_630_in8_out4_gates55.v, 3, 57, 0.05263157894736842
Verilog3/Infected/Inf_gate_level_381_in4_out8_gates8.v, 3, 10, 0.3
Verilog3/Infected/Inf_gate_level_1528_in64_out32_gates43.v, 3, 45, 0.06666666666666667
Verilog3/Infected/Inf_gate_level_1239_in32_out16_gates44.v, 5, 47, 0.10638297872340426
Verilog3/Infected/Inf_gate_level_472_in4_out16_gates51.v, 3, 53, 0.05660377358490566
Verilog3/Infected/Inf_gate_level_908_in16_out8_gates19.v, 2, 20, 0.1
Verilog3/Infected/Inf_gate_level_156_in2_out8_gates41.v, 3, 43, 0.06976744186046512
Verilog3/Infected/Inf_gate_level_1300_in64_out2_gates11.v, 2, 12, 0.16666666666666666
Verilog3/Infected/Inf_gate_level_1150_in32_out4_gates59.v, 6, 63, 0.09523809523809523
Verilog3/Infected/Inf_gate_level_1273_in32_out32_gates46.v, 3, 48, 0.0625
