Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 1.6157891750335693, 1.4406042098999023, 0.0, 0.0
2, 1.7117570638656616, 1.3838733434677124, 0.0, 0.0
3, 1.493861436843872, 1.323923945426941, 0.0, 0.6666666865348816
4, 1.344259262084961, 1.268996238708496, 0.20000000298023224, 0.6666666865348816
5, 1.2881181240081787, 1.2139058113098145, 0.4000000059604645, 0.6666666865348816
6, 1.2100708484649658, 1.1658531427383423, 0.20000000298023224, 0.6666666865348816
7, 1.1516599655151367, 1.1302851438522339, 0.6000000238418579, 1.0
8, 1.1055095195770264, 1.0987361669540405, 0.4000000059604645, 1.0
9, 0.738195538520813, 1.0680971145629883, 1.0, 1.0
10, 0.8621004819869995, 1.0394116640090942, 0.6000000238418579, 1.0
